Demographics Question,Demographics Response,Value
Employment,Employed for kind,18089.7
Education,No education,17883.8
Residence,Rural,17656.9
Education,Primary,16612.3
Age,15-24,15981.8
Marital status,"Widowed, divorced, separated",15554.0
Marital status,Married or living together,15297.2
Age,25-34,14935.3
Employment,Unemployed,14811.1
Age,35-49,14657.0
Employment,Employed for cash,14391.6
Marital status,Never married,13298.8
Education,Secondary,13173.2
Residence,Urban,12049.0
Education,Higher,6691.8
